age,bio,job,school,anthem_title,anthem_artist,gender,descriptor_text,interest_text,total_photos,desition,longitud,latitud,hash_key,descriptor,interest,city_hashed
23.0,Do I want it or do I want techno?|The one with the eyeliner looking for the funny one||,['NotSpecified'],,Mood Swings (feat. Lil Tjay),Pop Smoke; Lil Tjay,NotSpecified,|Pisces|Better in person|Beer,,15,2,-3.684574,40.415211,-3.388779563377048e+17,"['Pisces', 'Better in person', 'Beer']",[],500a2b51765bf57441a2a5ba95621dcccc92722c51d321cef2d28c0084181b2f
27.0,with something to do tomorrow.|,['NotSpecified'],,,,NotSpecified,,,14,2,-3.684574,40.415211,6.305302478503846e+18,[],[],4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945
20.0,a few joints and a beer or are we going to a rave? | |a little punk and I'll forget everything.||looking to get out of the routine I'm immersed in.||more vices than hobbies. ||lots of love for music and death to fascism :black_heart:||,['ketalal'],,Visiones de la Muerte,Fertil Miseria,NotSpecified,|Scorpio|Pet-free|Smoker|Beer,|Coffee|Writer|Craft Beer|Wine|Extrovert,8,2,-3.684574,40.415211,-6.1360082436979e+18,"['Scorpio', 'Pet-free', 'Smoker', 'Beer']","['Coffee', 'Writer', 'Craft Beer', 'Wine', 'Extrovert']",4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945
22.0,nice but clumsy.|funny but stubborn.|clown but good girl.|pretty except in the morning.||estrella galicia the best :globe_showing_Europe-Africa: because galica quality,['NotSpecified'],,,,NotSpecified,|Taurus|Beer,|Music|Camping|Travel|Grab a drink,8,2,-3.684574,40.415211,5.360211791212667e+18,"['Taurus', 'Beer']","['Music', 'Camping', 'Travel', 'Grab a drink']",500a2b51765bf57441a2a5ba95621dcccc92722c51d321cef2d28c0084181b2f
26.0,something different!,['NotSpecified'],Uem,,,NotSpecified,,|Fashion|Festivals|Travel|Esports,1,2,-3.684574,40.415211,-4.6652389615069946e+17,[],"['Fashion', 'Festivals', 'Travel', 'Esports']",4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945
21.0,||:woman_police_officer_light_skin_tone::blue_heart:||People here are really into beer; but what do you want? I'm more into wine :clinking_glasses::wine_glass:||The love of my life has legs and her name is Lola||What I like most in life are sunsets; shall we?,['NotSpecified'],,,,NotSpecified,|Socially active|Virgo|Wine|Dog|Smoker,|Wine|Foodie|Dog lover,15,2,-3.684574,40.415211,5.196545404679381e+18,"['Socially active', 'Virgo', 'Wine', 'Dog', 'Smoker']","['Wine', 'Foodie', 'Dog lover']",4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945
18.0,"If you are a fascist, go back to where you came from | Every day my hair is a different color | xfixfixfi people who like metal/punk/numetal I need people to go to concerts with",['NotSpecified'],,My Own Summer (Shove It),Deftones,NotSpecified,|Aquarius|B time texter|Occasionally|All the drinks|All the pets|Smoker,|Festivals|Tattoos|Spirituality|Activism|Music,11,2,-3.684574,40.415211,3.2616880364249856e+18,"['Aquarius', 'B time texter', 'Occasionally', 'All the drinks', 'All the pets', 'Smoker']","['Festivals', 'Tattoos', 'Spirituality', 'Activism', 'Music']",500a2b51765bf57441a2a5ba95621dcccc92722c51d321cef2d28c0084181b2f
18.0,::anatomical_heart:|:Venezuela:,['NotSpecified'],,,,Woman,|Virgo|Gym rat,|Festivals|Instagram|Travel|World Traveler|Shopping,5,2,-3.684574,40.415211,4.2201851182806456e+18,"['Virgo', 'Gym rat']","['Festivals', 'Instagram', 'Travel', 'World Traveler', 'Shopping']",500a2b51765bf57441a2a5ba95621dcccc92722c51d321cef2d28c0084181b2f
34.0,trans girl :transgender_flag: |if you like it; why does it scare you?|do affectionate studs exist? :face_with_hand_over_mouth:|,['NotSpecified'],,Luces de Neón,Varry Brava,NotSpecified,|Capricorn|Better in person|Occasionally|Non-smoker|Beer|Carnivore|All the pets|Off the grid|Bachelors,|Reading|Travel|Movies|Disney|Netflix,8,2,-3.684574,40.415211,7.696505827663286e+18,"['Capricorn', 'Better in person', 'Occasionally', 'Non-smoker', 'Beer', 'Carnivore', 'All the pets', 'Off the grid', 'Bachelors']","['Reading', 'Travel', 'Movies', 'Disney', 'Netflix']",4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945
23.0,"fun girl; sincere, passionate about music | cook and baker :woman_cook_light_skin_tone::cupcake:|I'm looking for friends; nothing in particular but whatever comes up is good :sparkles:",['cocinera at restaurante'],Universidad Autónoma de Madrid,The Nhts,Avicii,NotSpecified,|Aries|B time texter|Occasionally|Non-smoker|Socially active|All the drinks|Carnivore|Dog|In College,|Foodie|Photography|Musician|Tattoos|Cooking,11,2,-3.684574,40.415211,-7.564958797505564e+18,"['Aries', 'B time texter', 'Occasionally', 'Non-smoker', 'Socially active', 'All the drinks', 'Carnivore', 'Dog', 'In College']","['Foodie', 'Photography', 'Musician', 'Tattoos', 'Cooking']",500a2b51765bf57441a2a5ba95621dcccc92722c51d321cef2d28c0084181b2f
25.0,I don't know what I want or what I'm looking for hahaha | weird depending on who you ask,['NotSpecified'],,,,Woman,|Better in person|Occasionally|Non-smoker|Dog,|Walking|Travel|Movies|Music|Outdoors,8,2,-3.684574,40.415211,3.602085454066092e+18,"['Better in person', 'Occasionally', 'Non-smoker', 'Dog']","['Walking', 'Travel', 'Movies', 'Music', 'Outdoors']",4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945
21.0,I am years old |,['NotSpecified'],,,,NotSpecified,|Sagittarius|Better in person|Sober|Socially active|Occasionally|Non-smoker|Pet-free,|Foodie|Instagram|Travel|Photography,11,2,-3.684574,40.415211,-3.812259805219641e+18,"['Sagittarius', 'Better in person', 'Sober', 'Socially active', 'Occasionally', 'Non-smoker', 'Pet-free']","['Foodie', 'Instagram', 'Travel', 'Photography']",9c0b49fee9df59f32d49294767595776140edf0eac2795cb4cb7c37f67db8a07
20.0,to the insta better: :sparkling_heart:,['NotSpecified'],Grado Medio Estetica Y Belleza,MIDDLE OF THE NHT,Elley Duhé,Woman,|Virgo|B time texter|Non-smoker|All the drinks|Pet-free|Influencer status|Gym rat,|Fashion|Grab a drink|Instagram|Photography|Party Animal,11,2,-3.684574,40.415211,4.553126572396488e+18,"['Virgo', 'B time texter', 'Non-smoker', 'All the drinks', 'Pet-free', 'Influencer status', 'Gym rat']","['Fashion', 'Grab a drink', 'Instagram', 'Photography', 'Party Animal']",4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945
